date,open,high,low,close,volume,amount,pctChg
2024-01-02,3426.2684,3426.2684,3386.3522,3386.3522,11618072600,184096097448.7,-1.304467
2024-01-03,3379.7501,3392.8504,3362.6617,3378.2971,10561385100,165099018642.5,-0.23787
2024-01-04,3375.0207,3375.0207,3323.8647,3347.0519,10672101300,165512262698.6,-0.92488
2024-01-05,3341.3061,3372.5444,3313.5542,3329.1114,12640057400,182251664948.1,-0.536009
2024-01-08,3322.6051,3333.516,3283.3421,3286.0564,11742948500,170761644873.4,-1.293288
2024-01-09,3286.7083,3304.6008,3273.8431,3292.4994,10933046500,172276323045.2,0.196071
2024-01-10,3281.6692,3312.9161,3268.2471,3277.129,9419936600,159777649838.1,-0.466831
2024-01-11,3275.3086,3311.1137,3266.7911,3295.6717,10878973500,180978533555.5,0.565821
2024-01-12,3284.358,3310.4704,3279.6987,3284.1667,9685355500,156536022291.9,-0.349094
2024-01-15,3270.1029,3306.9217,3261.2687,3280.9195,8885153000,144331722430.6,-0.098874
2024-01-16,3272.571,3300.8762,3260.4362,3300.8762,11327666500,175650587488.9,0.608265
2024-01-17,3291.1392,3291.1392,3229.082,3229.082,10876972800,173516385174.7,-2.175004
2024-01-18,3214.2844,3279.2538,3171.6329,3274.7286,17490916800,256784536828.0,1.413609
2024-01-19,3261.2393,3286.9415,3251.8136,3269.7763,11850140800,191261807098.8,-0.151228
2024-01-22,3262.4685,3281.4205,3193.1776,3218.9016,14870562800,225510031844.3,-1.555908
2024-01-23,3208.4316,3249.5306,3188.1259,3231.9329,12201200000,193791168624.2,0.404837
2024-01-24,3245.9592,3281.4892,3190.4674,3277.1089,15437195400,219036341624.5,1.397801
2024-01-25,3274.3391,3344.2426,3269.7943,3342.9189,19683361400,265521114954.3,2.008173
2024-01-26,3326.6465,3351.9692,3315.1265,3333.8213,18066400500,238144899501.0,-0.272145
2024-01-29,3335.3936,3351.3715,3303.9604,3303.9604,18416479500,244698013593.3,-0.895696
2024-01-30,3283.8977,3300.204,3244.9719,3245.0387,14364935000,199592929911.7,-1.783366
2024-01-31,3231.5425,3252.1475,3201.9264,3215.3518,15314346900,215333349921.2,-0.91484
2024-02-01,3202.2564,3251.7582,3191.8968,3217.7109,14551679200,203815063232.5,0.07337
2024-02-02,3219.8734,3235.4079,3108.3515,3179.6276,17375808900,234495151557.0,-1.183553
2024-02-05,3164.25,3233.8485,3111.5184,3200.4218,20304297000,279713141507.2,0.653982
2024-02-06,3185.2498,3314.512,3182.8216,3311.6922,20271309900,285042020945.9,3.476742
2024-02-07,3314.0306,3343.6303,3289.6704,3343.6303,21664793300,297997664575.2,0.964404
2024-02-08,3351.4052,3367.2101,3336.9779,3364.9297,18997757800,270239765211.0,0.637014
2024-02-19,3393.1916,3403.8078,3364.1418,3403.8078,18331980000,267674145147.3,1.155391
2024-02-20,3395.1916,3415.8943,3380.103,3410.8542,14073458100,218459281946.0,0.207015
2024-02-21,3390.3619,3500.1338,3383.6911,3456.8713,18887936200,291823544608.2,1.349137
2024-02-22,3450.3518,3486.6826,3448.4135,3486.6747,14102078400,225098128872.7,0.86215
2024-02-23,3491.3367,3507.5592,3472.968,3489.7416,14482127300,232926057113.9,0.087961
2024-02-26,3485.5427,3492.6061,3445.3889,3453.3585,15124833100,238951637715.0,-1.042573
2024-02-27,3440.0516,3494.7874,3437.4422,3494.7874,13952824600,244488721250.8,1.19967
2024-02-28,3499.8257,3521.6574,3450.2598,3450.2598,18983754800,328300591256.4,-1.274115
2024-02-29,3437.8984,3516.0826,3437.8984,3516.0826,15594453200,281971899288.2,1.907764
2024-03-01,3515.0587,3544.3595,3503.459,3537.8038,16270957000,288575619224.5,0.617767
2024-03-04,3538.366,3548.6901,3519.7599,3540.8686,16324461300,297719931809.3,0.08663
2024-03-05,3524.9644,3570.6935,3519.0816,3565.5143,16642238900,299895929709.1,0.696035
2024-03-06,3556.5323,3577.3883,3545.1013,3551.0481,14307661300,248294165707.4,-0.405725
2024-03-07,3548.1007,3569.9185,3522.8964,3529.7195,14811051000,251839533036.1,-0.600628
2024-03-08,3529.5509,3548.5055,3511.577,3544.9099,12579266400,225379101014.0,0.430357
2024-03-11,3545.9427,3589.2635,3542.2789,3589.2635,14820282500,286418582154.6,1.251191
2024-03-12,3592.5826,3605.6976,3574.2117,3597.4939,18068556000,339997042337.1,0.229306
2024-03-13,3594.4211,3594.4211,3563.3685,3572.361,14459059000,266898756379.8,-0.698622
2024-03-14,3571.7885,3597.46,3545.612,3562.2229,14096272200,263803609335.2,-0.283793
2024-03-15,3554.9068,3572.8091,3533.6798,3569.993,13831604400,243991558366.2,0.218125
2024-03-18,3577.0564,3604.0519,3573.404,3603.528,16037943800,295314840611.0,0.939358
2024-03-19,3593.3396,3610.7389,3577.188,3577.6303,14557178600,259553448413.4,-0.718676
2024-03-20,3568.7158,3589.5456,3568.4341,3585.3838,12952896600,223752103886.2,0.216722
2024-03-21,3593.07,3601.1145,3575.0331,3581.0902,13074337700,233162492629.6,-0.119753
2024-03-22,3571.2736,3575.7171,3522.8404,3545.0023,13922735800,248850931022.2,-1.007735
2024-03-25,3536.7136,3564.9604,3525.7634,3525.7634,13701572400,233747256235.1,-0.542705
2024-03-26,3526.6818,3547.6461,3518.6018,3543.7467,12620953500,226730734844.1,0.510054
2024-03-27,3538.7244,3542.9624,3502.7866,3502.7866,12862676300,216404726565.9,-1.155842
2024-03-28,3498.482,3551.2143,3489.3861,3520.9648,14333471700,232530806334.5,0.518964
2024-03-29,3516.883,3538.2378,3516.883,3537.4843,12864329000,201749384356.7,0.469175
2024-04-01,3551.5815,3600.9193,3551.5815,3595.6466,16277656100,251637272845.1,1.644171
2024-04-02,3593.2206,3596.1903,3568.7539,3580.6759,14127297200,220207515542.9,-0.416356
2024-04-03,3578.6835,3582.4324,3558.874,3567.8031,13559233100,214222897580.1,-0.359508
2024-04-08,3553.5554,3567.82,3535.7688,3536.4077,15530428300,243249251687.2,-0.879964
2024-04-09,3533.3849,3543.7141,3518.8601,3533.4871,12967094200,195893525574.7,-0.082587
2024-04-10,3528.9679,3531.2295,3490.0525,3504.7086,12879027400,199754768626.1,-0.81445
2024-04-11,3485.0294,3520.5893,3484.9252,3504.2447,12653439500,200293481885.7,-0.013236
2024-04-12,3505.7499,3516.6988,3470.0611,3475.8389,12892111600,208566204702.9,-0.810611
2024-04-15,3473.5047,3552.4125,3473.5047,3549.0759,18394125000,267472484531.0,2.107031
2024-04-16,3533.3636,3545.5034,3503.6158,3511.1146,17615306500,253315972272.3,-1.069611
2024-04-17,3509.1318,3565.9389,3498.0324,3565.403,16846639800,244987812753.2,1.546187
2024-04-18,3550.5562,3602.7902,3547.5996,3569.8018,17857410500,261329927268.4,0.123375
2024-04-19,3550.6087,3560.9492,3529.3237,3541.6619,14728150500,226229520121.3,-0.788276
2024-04-22,3536.1844,3558.1642,3528.0186,3530.9045,15057904200,229511183118.0,-0.303739
2024-04-23,3525.6681,3533.7584,3499.9838,3506.2249,14311350400,213257232210.7,-0.69896
2024-04-24,3514.0108,3524.537,3495.6494,3521.6219,12173985100,195299919746.2,0.439133
